Subject,Verb,Object
33228438|t|An proposal,possess,Mantram repetition
"symptoms of various mental health conditions ,",manage,comparative advantages for
"posttraumatic stress disorder , AIDS",include,"various mental health conditions ,"
a short battery,identify,33228438|t|An proposal
neuropsychological impairment,detect,33228438|t|An proposal
a general adult practice,detect,33228438|t|An proposal
a short battery,identify,An proposal
neuropsychological impairment,detect,An proposal
a general adult practice,detect,An proposal
a short battery,identify,33228438|t|An proposal
neuropsychological impairment,detect,33228438|t|An proposal
a general adult practice,detect,33228438|t|An proposal
that 1 ) models,demonstrate,Objectives :
small numbers of tests,base,that 1 ) models
neuropsychological impairment,identify,Objectives :
a adult neuropsychology clinic,identify,Objectives :
strong predictive validity on replication,show,those models
a different sample,show,those models
a short battery,identify,33228438|t|An proposal
neuropsychological impairment,detect,33228438|t|An proposal
a general adult practice,detect,33228438|t|An proposal
neuropsychological classification in 231 patients,determine,Latent Class Analyses LCA )
a short battery,identify,Species 33228438|t|An proposal
neuropsychological impairment,detect,Species 33228438|t|An proposal
a general adult practice,detect,Species 33228438|t|An proposal
long waiting lists,address,Development of with adequate sensitivity
light of COVID pandemic against the general backdrop of demand for neuropsychological services,address,Development of with
the severe respiratory syndrome coronavirus-2 ),cause,"The coronavirus disease ,"
an alarm of transmission,endure,It has been noted
innumerable research attention,activate,the pandemic
comparison of the datasets,focus,The study
"a surge in , cytokines",reveal,The results
33228475 1030 1036 Chemical MESH : MESH,reveal,The results
33228475 1272 TTTY15 Gene 	 profiling,predict,Long non - coding RNAs as
33228475|t|Computational expression profiling in the exploration of for,predict,"Drugs - F-1566 - 0341 , Digoxin"
perturbations analysis,predict,"Drugs - F-1566 - 0341 , Digoxin"
33228475|t|Computational expression profiling in,predict,the expression signatures
perturbations analysis,predict,the expression signatures
upregulated genes,overlap,"Two MDH1 , SGCE ."
potential biomarkers candidates,appraise,one gene PFKFB3
the first deaths from in,conduct,"Surveys of ,"
"encephalopathy , miyelitis",necrotize,"epilepsy ,"
"encephalopathy , miyelitis",necrotize,acute hemorrhagic
"a strong social network , loneliness",report,People with a term health condition
"the pandemic ,",associate,a novel stressor
anxiety,stimulate,the situational perception of
33287610 1807 Disease MESH : C000657245,stimulate,the situational perception of
the coronavirus disease,stimulate,the situational perception of
depressive symptomatology,stimulate,the situational perception of
the general public,predict,resurgences of the disease
the general public,communicate,resurgences of
mistrust,predict,resurgences of
mistrust,communicate,resurgences of
uncertainty,predict,resurgences of
uncertainty,communicate,resurgences of
the general public,communicate,anxiety
mistrust,communicate,anxiety
uncertainty,communicate,anxiety
China,report,BACKGROUND
cases,confirm,Forecasting
a simple series model,confirm,Forecasting
deaths,confirm,Forecasting
"approaches to outbreaks , epidemics",model,The majority of
an epidemiological approach,take,The majority of
biological processes,consider,It has been noted
prophylactic protocol in,personalize,33334655|t|An Ayurvedic
long in the community,stay,the situation
negative experiences,report,many parents across countries
a useful therapy for patients with refractory severe respiratory distress syndrome from coronavirus disease 2019,represent,Venovenous ECMO
a coronavirus disease 2019 bubble,remain,C000657245 33427151|t|Can term care facilities
a coronavirus disease 2019 bubble,remain,term care facilities
extraordinary life changes,introduce,pandemic
adolescents,introduce,pandemic
stress,introduce,pandemic
young adults,introduce,pandemic
symptoms,associate,COVID-19 confinement concerns
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
"the dots between pulmonary diseases , cancer",connect,Epigenetic underpinnings of :
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
an important role in the COVID-19 disease progression,play,Acute hyperinflammation
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
lung cancer patients,enhance,the severity of
cancer progression as,involve,infection .
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
epigenetic regulation of inflammation,identify,several reports
different levels,identify,several reports
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
methylation,affect,Expression of underpinnings
acetylation,affect,Expression of underpinnings
microRNAs as RNAs,include,"non - coding RNAs ,"
the overall inflammatory responses,affect,"non - coding RNAs ,"
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
"inflammation in COVID-19 infection , cancer",regulate,Select miRNAs
factors inflammation,mediate,epigenetic changes
33484868 1821 1833 Disease MESH :,mediate,epigenetic changes
33484868|t|Epigenetic underpinnings of :,mediate,epigenetic changes
"the dots between pulmonary diseases , cancer",connect,33484868|t|Epigenetic underpinnings of :
33487885|t|Efficient learning approach for augmented detection of Coronavirus disease,develop,a better understanding of epigenetic regulation of inflammation
novel strategies,develop,a better understanding of
the world population,affect,The new Coronavirus disease 2019 ( COVID-19 )
33487885 Coronavirus disease MESH : C000657245,affect,The new Coronavirus disease 2019 ( COVID-19 )
statistics,affect,The new Coronavirus disease 2019 ( COVID-19 )
the biggest challenge in,remain,the detection of
33487885 257 268 Coronavirus Species 	 11118 33487885,remain,the detection of
this disease,diagnose,the biggest challenge in
an important role in the forecasting of equipment demand,play,Artificial models
infectious disease periods,play,Artificial models
the number of in in relation to COVID-19 disease,estimate,the model
a pragmatic approach,adopt,Other medical schools
year students,adopt,Other medical schools
"the integration of online , in",involve,a pragmatic approach
"hybrid modules into ,",involve,a pragmatic approach
South Africa ( SA ),spread,coronavirus disease-2019 ( COVID-19 )
the presentation,report,This paper
33569898 212 Disease MESH :,report,This paper
management,report,This paper
Coronavirus disease ( COVID-19 ),diagnose,who
an intensive care unit ( ICU ),discharge,an older female patient
hospitalization,discharge,an older female patient
the COVID-19 general clinic,monitor,she
normal levels of oxygen saturation ( SpO2,monitor,she
the ICU,transfer,she
"uncommon manifestations , as acute cerebrovascular diseases ( haemorrhage",exhibit,Patients with severe infection
"a worldwide pandemic ,",lead,The coronavirus disease ( COVID-19 )
surgical operation,affect,which
lifestyle,lockdown,COVID-19 pandemic
mental health,lockdown,COVID-19 pandemic
lockdowns on their citizens,impose,many countries
an attempt,impose,many countries
the disease,contain,an attempt
lifestyle,lockdown,COVID-19 pandemic
mental health,lockdown,COVID-19 pandemic
a general feeling of tiredness,have,a majority ( % )
= 0.023,have,a majority ( % )
lifestyle,lockdown,COVID-19 pandemic
mental health,lockdown,COVID-19 pandemic
a widespread increase in the length of sleep,lead,media applications
sleep habits,worsen,"that the increase in ,"
later hours than,sleep,people
lifestyle,lockdown,COVID-19 pandemic
mental health,lockdown,COVID-19 pandemic
the severity of this disease for care patients,prevent,We
Species 9606 interval prolongation,prevent,We
hydroxychloroquine,associate,sudden cardiac death
malaria disorders,treat,drugs
malaria disorders,treat,drugs
the effects of asthma on Coronavirus disease,pertain,The evidence
33650461 patients Species 	 9606 33650461 466,analyze,patients with confirmed Coronavirus disease 2019
33650461 patients Species 	 9606 33650461 466,analyze,2020
33650461 1039 1063 Coronavirus disease MESH : C000657245,follow,Patients Situation
these outcomes,follow,Patients Situation
diagnosis of Coronavirus disease 2019,follow,Patients Situation
"July 2 , 2020",follow,Patients Situation
Key Proteins,target,Patients Situation
SARS - CoV-2,combat,Patients Situation
an immediate need,be,there
33687881 2019 Disease MESH : C000657245,be,there
drugs,discover,an immediate need
new drugs,produce,the process of
drugs,repurpose,the strategy of
COVID-19 disease,cause,It has been noted
clinical outcomes,analyze,Fine regression
regression,analyze,Fine regression
worse outcomes,have,People with
"( ratio 1.081.091.1 ,",improvement,longer time
term care homes,live,older people
the basic liberties of older people,undermine,the expansive liberties of the general public
33707302 418 people Species 	 care : Characteristics,discriminate,it
the basis of extrinsic disadvantages,discriminate,it
the intensive care unit ( ICU ),increase,BACKGROUND
the intensive care unit ( ICU ),increase,the use of prone positioning
the care system,disrupt,Background :
33733868 142 166 coronavirus disease MESH : C000657245,disrupt,Background :
Disease MESH : interventions,disrupt,Background :
various ways,disrupt,Background :
the care system,disrupt,The coronavirus disease 2019 pandemic
33733868 142 166 coronavirus disease MESH : C000657245,disrupt,The coronavirus disease 2019 pandemic
Disease MESH : interventions,disrupt,The coronavirus disease 2019 pandemic
various ways,disrupt,The coronavirus disease 2019 pandemic
care,improve,C000657245 interventions in
Forces veterans,improve,C000657245 interventions in
all their healthcare needs,have,AFVs
"the NHS ,",meet,all their healthcare needs
access to a full range of generic services,provide,which
care,improve,Service interventions in
Forces veterans,improve,Service interventions in
the general population,compare,", due , selection at , AFVs"
HIV,live,people
a center with,live,people
the first wave of,live,people
"mild moderate disease ,",have,individuals
33784625|t|A Wearable Tele - Health System towards,have,individuals
million deaths worldwide,cause,The coronavirus disease 2019 ( COVID-19 )
self - isolate,require,COVID-19 patients with mild symptoms
severe complications,turn,the disease
the impact of on with a focus on their cardiovascular health,overviewe,we
33784625 545 Disease MESH : C000657245,overviewe,we
the hardware,include,which
a smartphone app,include,which
promising results with 33786370|t|WeCareAdvisor,show,"The prototype ,"
Manage Symptoms : Trial,help,"MESH D002908 33786370|t|WeCareAdvisor , Platform"
access to disease information,!have,families
"strategies ,",!have,families
COVID-19,!have,families
caregivers,provide,WeCareAdvisor
"disease information , tips",provide,WeCareAdvisor
behaviors,describe,"a systematic approach for ,"
underlying causes,investigate,"a systematic approach for ,"
strategies,create,"a systematic approach for ,"
their effectiveness ( DICE ),evaluate,"a systematic approach for ,"
the efficacy of in the treatment of post - Covid-19 related neurodegeneration,reveal,silico inquest
the efficacy of in the treatment of post - Covid-19 related neurodegeneration,reveal,silico inquest
33810774 76 84 Disease MESH : C000657245 : delay,reveal,silico inquest
a Bayesian approach,consider,Both
33814611 Disease MESH :,consider,Both
a Bayesian approach,consider,reporting delays
33814611 Disease MESH :,consider,reporting delays
the binomial ( NB ) distribution,use,a Bayesian approach
order,use,a Bayesian approach
the population heterogeneity,accommodate,order
a French flash survey,identify,strategies
the COVID-19 containment,identify,strategies
93 ME / CFS,include,"diseases ,"
a French flash survey,identify,strategies
the COVID-19 containment,identify,strategies
different strategies,have,The latter
patients :,recognise,different strategies
social support,seek,less uses of
copings,seek,less uses of
syndrome coronavirus 2 ( CoV-2 ),cause,Coronavirus disease ( CoVID-19 )
the world,scramble,Coronavirus disease ( CoVID-19 )
Quebec HCWs from private institutions,include,The study
33853702 872 896 coronavirus disease MESH : C000657245 MESH : C000657245 33868972|t|Prevalence from in at,include,The study
disease 2019 ( COVID-19,include,The study
March 1,diagnose,disease 2019 ( COVID-19
the term growth trajectory,change,investing in the types of infrastructure
the term growth trajectory,change,the production technology
temporary effects,generate,while focusing on intensive investment
organizational factors,identify,Objectives :
center video telehealth uptake ( proportion,associate,organizational factors
telemedicine,use,patients
the term effects of COVID-19,study,we
survivors of severe disease,study,we
three large Birmingham hospitals,hospitalise,"a retrospective , case series of 200 patients"
COVID-19 infection months from disease - onset,hospitalise,"a retrospective , case series of"
persistent breathlessness,experience,63.2 % of patients
33893486 patients Species 	 9606 33893486,complain,53.5 % mobility
significant fatigue,complain,53.5 % mobility
"% decrease of with , due",be,there
disease ( COPD ),be,there
mental health implications for both healthcare workforces,have,Tauhe COVID-19 pandemic
regions,have,Tauhe COVID-19 pandemic
the crisis,hit,regions
i,investigate,Tauhe study
anxiety- severity differences between staff of a treatment unit ( 84 ),investigate,Tauhe study
anxiety- severity differences between,explore,Tauhe study
relations between such symptoms,explore,Tauhe study
a low burden setting,explore,Tauhe study
relations between,explore,Tauhe study
a low burden setting,explore,Tauhe study
coronavirus disease-19 ( COVID-19,monitor,They
a 3 wk period in intensive care units ( ICUs ),sample,patients
the test of time,stand,It has been noted
the transmission of the disease,contain,the singular policy
care providers,challenge,which
care providers,challenge,disease
tracheostomy,perform,disease
post tracheostomy care,provide,disease
to patients,provide,disease
risks of nosocomial transmission,minimise,disease
themselves,minimise,disease
nursing staff,accompany,disease
the Disorder New Module ( ADNM-20 ),integrate,The Goe - BSI
33942148 866 symptoms MESH : 33944674|t|Relationships,integrate,The Goe - BSI
BACKGROUND :,integrate,The Goe - BSI
33944674 Disease MESH : C000657245,integrate,The Goe - BSI
COVID-19,induce,anxiety
social support among Iranian pregnant women,perceive,anxiety
a vaccine,develop,the time
definitive treatment for the disease,develop,the time
great anxiety in communities,cause,The rapid spread of
pregnant women,cause,The rapid spread of
great anxiety in,cause,the time
pregnant women,cause,the time
maternal consequence,have,whose high levels of distress
COVID-19,induce,anxiety
social support among Iranian pregnant women,perceive,anxiety
33944674 Disease MESH :,collect,The data
D001007 33949816|t|Implications of :,collect,The data
The Effect of,collect,The data
coronavirus disease 2019 ( COVID-19 ),pose,the threat
33949816 139 163 coronavirus disease MESH : C000657245,announce,the UK prime minister
the 23rd of March strict lockdowns,announce,the UK prime minister
Species 347 Disease MESH : Patient .,evolve,The role of for the management of patients with lung diseases
symptoms of coronavirus disease ( infection,document,"Encephalopathy , delirium"
a old male patient with onset Alzheimer disease,present,We
our institution with agitation,present,who
ultrasonography results of 5 patients,thyroid,"thyroid scintigraphy ,"
the otorhinolaryngology clinic,apply,who
complaints of between,apply,who
Disease MESH :,examine,"the throat examination , consultation tests"
Disease MESH :,examine,"antithyroid peroxidase ( anti - TPO ) , scintigraphy"
the community of patients with inflammatory bowel disease,include,"a major health challenge ,"
the acceptance of COVID-19 vaccination among inflammatory disease patients,assess,We
33977419 Disease MESH : C000657245,assess,We
D015212 33977419 patients Species 	 Disease : Survey,assess,We
University Hospital,follow,All consecutive adult patients
inflammatory bowel disease,follow,All consecutive adult patients
33977419 1537 1563 inflammatory Disease MESH : D015212,vaccinate,Half of the patients with inflammatory bowel disease
33977419|t|Inflammatory Bowel Disease,vaccinate,Half of
SARS - CoV-2,vaccinate,Half of
COVID-19 Vaccination,vaccinate,Half of
Patients Survey,vaccinate,Half of
33977419 patients Species 	 MESH : MESH,understand,patients with inflammatory bowel disease
COVID-19,vaccinate,the necessity
syndrome coronavirus TS ),associate,C000657245 status of children with
mild illness in children,cause,"Coronavirus disease 2019 ( COVID-19 ) ,"
the emergence of :,cause,"Coronavirus disease 2019 ( COVID-19 ) ,"
syndrome coronavirus 2 ( CoV-2 ),associate,Inflammatory Multisystem Syndrome
caspases across the spectrum of COVID-19 disease,investigate,we
transcriptional states of multiple caspases,assess,We
CON CON FARMACOS ANTIVIRALES,paciente,33995537|t|EVOLUCION DEL
CON CON FARMACOS ANTIVIRALES,paciente,INTERVALO EN
underlying diseases :,have,All
Disease MESH :,have,All
D006331 33996370|t|Evaluation of fears of COVID-19 virus infection,have,All
its relationship to among during : study,have,All
the world,spread,the COVID-19
lockdown measures,impose,many nations
the early stage of the pandemic,impose,many nations
Disease Investigation,expand,D007239 D012559 34016907|t|An Department Community Partnership
the COVID-19 Pandemic,expand,D007239 D012559 34016907|t|An Department Community Partnership
the spread of infectious disease,control,strategies
the spread of,control,strategies
an innovative disease investigation,describe,This article
tracing program,describe,This article
a community partnership between a local county health department,develop,an innovative disease investigation
"chronic lung disease , inflammation",!cause,"Furthermore , ammonia ( NH3 ) emission from farming husbandary impacts"
the formation of secondary particulate matter ( PM ),involve,"Furthermore , ammonia ( NH3 ) emission from"
a critical role in environment,play,It has been noted
"the spread of , incidence",include,The consequential indirect health effects of
34029534 Coronavirus disease MESH : C000657245 via,exemplify,The case
multi - scale contextual dependencies,learn,34029534 Coronavirus disease MESH : C000657245 via
an important role as a diagnostic aid in the identification of diseases,play,Automatic image segmentation
34029714 Gene 34029714|t|2D image segmentation,play,Automatic image segmentation
34029714 1610 Disease MESH : D008113,show,Experimental results
the state performance on the segmentation task,achieve,our framework
"% Sensitivity , task",achieve,our framework
immune response to combat COVID-19,boost,their extracts in
their immune system,improve,an concern among
immune response to combat COVID-19,boost,their extracts in
this disease,develop,vaccine
the stools of patients with the coronavirus disease 2019 ( COVID-19 ),detect,severe syndrome coronavirus 2 ( CoV-2 )
fecal route,transmit,the virus
an article,read,These participants
general information,provide,an article
the disease,regard,an article
patients with,antibodie,D017543
""
"34057311|t|Isolation , changes"
special attention,require,"Patients with chronic rheumatic diseases ( CRD ) , as"
the COVID-19 pandemic,require,Patients with
risk of severe infections,consider,they
patients with,antibodie,217 Disease MESH : MESH 34057311 : D001172 D001172 320 MESH MESH
patients with,antibodie,"D007239 34057311|t|Isolation ,"
patients with,antibodie,behavioral changes
patients with,antibodie,low seroprevalence of
the seroprevalence of,assess,We
"symptoms ,",assess,We
34057311 426 syndrome coronavirus Species 34057311 9606 34057311 MESH : MESH,assess,We
mental health,assess,We
patients with,antibodie,"D001172 9606 34057311|t|Isolation ,"
patients with,antibodie,behavioral changes
patients with,antibodie,low seroprevalence of
symptoms,ask,The CRD patients
"physical activity , adherence",ask,The CRD patients
patients with,antibodie,"34057311 9606 34057311|t|Isolation ,"
patients with,antibodie,behavioral changes
patients with,antibodie,low seroprevalence of
34 % of patients,experience,pain
patients with,antibodie,"Species 9606 34057311|t|Isolation ,"
patients with,antibodie,behavioral changes
patients with,antibodie,low seroprevalence of
the expense of physical activity,occur,this
endothelial function,include,cardiovascular risk factors (
coronavirus disease 2019 ( COVID-19,recover,subjects
endothelial function,include,cardiovascular risk factors (
coronavirus disease 2019 ( COVID-19 ),recover,subjects
a wide range of clinical manifestations,represent,Coronavirus disease 2019 ( COVID-19 )
extrapulmonary features in post - COVID-19 patients,investigate,This study
extrapulmonary features in,investigate,This study
mild disease severity,recover,who
the mid,recover,who
-,recover,who
term,recover,who
34080125 1681 1689 Disease MESH : C000657245 .,affect,Extrapulmonary features
a substantial proportion of post - COVID-19 patients,affect,Extrapulmonary features
mild disease severity,recover,who
the mid,recover,who
-,recover,who
term,recover,who
lower eosinophil levels,have,Patients with severe COVID-19 disease
hospitalization,have,Patients with
a severe COVID-19 disease trajectory,associate,Lower levels of eosinophil counts ( biomarkers )
pregnant women,predispose,COVID-19
-,predispose,COVID-19
eclampsia,predispose,COVID-19
pregnancy,predispose,COVID-19
hypertensive disorders,predispose,COVID-19
a clinical study,support,Our hypothesis
woman disease risk,impact,this
life,impact,this
34085281 9606 34095454|t|Impact assessment on water quality in the polluted stretch,generate,COVID-19 mRNA vaccines
robust humoral immunity in,generate,COVID-19 mRNA vaccines
a cluster analysis,use,34085281 9606 34095454|t|Impact assessment on
pre- lockdown of : resiliency,use,34085281 9606 34095454|t|Impact assessment on
cluster analysis,know,The statistical analysis
the homogeneity of various monitoring sites,evaluate,The statistical analysis
the physicochemical variables,base,the homogeneity of
a wide spectrum of disease severity,present,Patients with
asymptomatic cases in the majority,present,Patients with
critical care,lead,serious disease
even death,lead,serious disease
disease timeline,occur,four different scenarios
host immunity,drive,a cytokine storm
acute respiratory distress syndrome,induce,a hyperinflammatory response with a cytokine storm
strong indicators of disease progression,constitute,Biomarkers of endothelial injury
a risk to staff,pose,In procedures
decontamination by ventilation,aerosol,while room shutdown
Airborne SARS - CoV-2,eliminate,34098798 278 patients Species 	 Purifiers
A Systematic Review,eliminate,34098798 278 patients Species 	 Purifiers
portable HEPA purifiers,provide,additional air exchanges
procedures,reduce,shutdown times
"themes , as feasibility , satisfaction",categorize,they
the coronavirus disease 2019 ( COVID-19 ),associate,the effects
patients,result,Reallocation of inpatient areas
"non - specialised teams in generic wards ,",manage,patients
transit of patients,increase,which
clinical areas,increase,which
the structural features,explore,This paper
34121618 1014 1024 CoV-2 Species 	 study,explore,This paper
the molecular recognition of for,guide,It has been noted
Guduchi,contain,Ayurvedic formulation
the diagnostic criteria,fulfil,All of
"elevated markers of ,",fulfil,All of
intravenous immunoglobulin g,receive,All our patients
significant improvement in MESH,show,all our patients
34134808 779 Disease MESH :,show,all our patients
a few days as,show,all our patients
serial echocardiographic evaluation,show,all our patients
the population burden of term cardiac disease,identify,Assessment of residual complications in the post - COVID-19 recovery phase
34136999 1193 1201 Disease MESH : C000657245 :,identify,Assessment of
a direct consequence of,identify,Assessment of
psychological effects of maternal physical inactivity on obstetric outcomes,evaluate,term studies
34138457 Disease MESH : D018352,choose,"Genetics , oncology"
representative fields,choose,"Genetics , oncology"
precision medicine,choose,"Genetics , oncology"
the cross,address,representative fields
-,address,representative fields
compliance of artificial intelligence ( AI ),address,representative fields
CoV-2 virus,infect,millions of patients
breathlessness,complain,a vast number of individuals
the onset of the disease,complain,a vast number of
fatigue,complain,a vast number of
chronic fatigue syndrome,call,similarities to myalgic encephalomyelitis
a viral pathogenesis,link,similarities to
lifestyle factors,associate,term symptoms
common chronic diseases,associate,term symptoms
COVID-19 recovery,aid,An intensive approach
34149832 523 547 coronavirus disease MESH,lead,Resource reallocation
an impending list crisis,lead,Resource reallocation
34149832 523 547 coronavirus disease MESH,lead,capacity
an impending list crisis,lead,capacity
34149832 523 547 coronavirus disease MESH,lead,( COVID-19 pandemic
an impending list crisis,lead,( COVID-19 pandemic
the experiences of nurses,explore,We
2019 patients in,care,who
coronavirus disease,care,who
care,give,34152045 207 231 coronavirus disease MESH : C000657245 amidst :
to patients,give,34152045 207 231 coronavirus disease MESH : C000657245 amidst :
12 nurses ( years ),interview,We
34152045 652 676 coronavirus disease MESH : Species,interview,We
coronavirus disease MESH,interview,We
2019 patients in,care,who
the coronavirus disease,care,who
2020,care,who
care,give,12 nurses ( years )
to patients,give,12 nurses ( years )
a number of situations,care,The nurses
the outbreak of in,care,The nurses
care,give,34152045 1076 1100 coronavirus disease MESH : 34152045|t|Experiences amidst :
to patients,give,34152045 1076 1100 coronavirus disease MESH : 34152045|t|Experiences amidst :
their preventive behaviours,change,Most nurses
34152045 1355 1379 coronavirus disease MESH : 34152045|t|Experiences,change,Most nurses
colleagues,protect,the nurses
34152045 2080 2104 coronavirus disease MESH : C000657245,protect,the nurses
themselves,protect,the nurses
family members,protect,the nurses
the care of coronavirus disease,regard,The negative experiences of the nurses
clinical settings,consider,The negative experiences of
clinical settings,consider,2019 patients
care,give,34152045 2275 2299 coronavirus disease MESH : 34152045|t|Experiences amidst :
to patients,give,34152045 2275 2299 coronavirus disease MESH : 34152045|t|Experiences amidst :
considerable regional variation,characterize,Canada experience with pandemic
Canada response to the COVID-19 pandemic,review,This paper
a focus on the role of in this public health emergency,review,This paper
( term care,warrant,an role
evidence,generate,terms of
health surveillance,support,terms of
collaboration across the country,support,its convening role
a median ( interquartile range ) of ),evaluate,hundred patients
disease onset,evaluate,hundred patients
severe pneumonia,recover,72 % of
patients,enrol,we
CoV-2 infection,recover,patients
the disease,hospitalize,who
acute viral infections,follow,34173049|t|Cognitive decline
the importance of the impact of infectious disease on human cognition,draw,much attention
acute viral infections,follow,9606 34173049|t|Cognitive decline
the cognitive decline,explain,Several theories
an infection,follow,the cognitive decline
acute viral infections,follow,34173049|t|Cognitive decline
the state of the art,review,This article
a general duty of home confinement,follow,who
the Sustainability,improve,Recommendations for
COVID-19,associate,34175976|t|Malignant cerebral infarction
a child,associate,34175976|t|Malignant cerebral infarction
frequency in patients,report,"Neurological manifestations , as ,"
Coronavirus disease 2019 ( COVID-19 ),affect,patients
milder cases,detect,the impact of
a quantitative manner,detect,the impact of
a possible mechanism for the spread of the disease,reveal,this
the effects of the disease in the brain,study,we
394 participants,study,we
multimodal data,use,the disease in
782 participants from COVID-19 re - imaging study,use,the disease in
CoV-2 infection between their two scans,test,394 participants
34189535 2153 Disease MESH :,avoid,the availability of pre - infection imaging data
the danger of pre - existing risk factors,avoid,the availability of
the average changes in the employment proportions,compare,the authors
the same changes in,lockdown,COVID-19
some clinical characteristics,relate,"opacity score on , % ,"
"demographic data , status",include,the first part of the part survey
34195918 participants Species 	 34195918,include,the first part of
the ISARIC Global up protocol,use,34210789|t|Risk factors for in children
the ISARIC Global up protocol,use,C000657245 9606 34210789|t|Risk factors for in children
the ISARIC Global up protocol,use,34210789|t|Risk factors for in children
34211113|t|Lagged meteorological impacts on COVID-19 incidence among risk counties in,associate,Older age diseases
higher risk of persistent symptoms at follow - up,associate,Older age diseases
effects,consider,"the lack of ,"
increased,appear,Severity of in this population of aged patients
the literature,report,the few series
chronic treatment,relate,adverse events
thalassemia disease,administer,chronic treatment
the infectious episode,favor,Occurrence of adverse events
collateral damages in the public health in,have,state response to the pandemic
the basic value of handwashing,re)learne,people
any diseases,avoid,the basic value of
34218284 Coronavirus-2 Species 	 alterations,neutralize,BACKGROUND Antibodies to Coronavirus-2
the virus,neutralize,BACKGROUND Antibodies to Coronavirus-2
vitro disease in animal challenge models,neutralize,BACKGROUND Antibodies to Coronavirus-2
supervised learning model,use,impact of
one of the disquieting health emergencies of the 21st century,emerge,Covid-19 pandemic
"the risk factors , comorbidities",compare,BACKGROUND :
"the risk factors , comorbidities",compare,we
dosing of in patients with multiple sclerosis during,tailor,Disease MESH : C000657245
dosing of in,tailor,C000657245
""
""
dosing of in,tailor,34240631|t|Personalized B - cell
radiological disease activity,show,Two ( % ) of 107 patients with a resonance imaging
radiological disease activity,show,( MRI ) scan
dosing of in patients with multiple sclerosis during,tailor,patients Species
dosing of in,tailor,9606 34240631|t|Personalized B - cell
intervals with low term activity incidence,extend,dosing of
